Date,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
2018-06-30,5305.0,5560.0,5299.19,5460.0,988.36305799,5386473.9280582,5449.8940288324
2018-07-01,5460.0,5505.75,5335.58,5438.92,1012.98184812,5487449.0848481,5417.1247935314
2018-07-02,5436.63,5750.65,5379.4,5682.0,1656.77005423,9256011.4173846,5586.7809740721
2018-07-03,5682.0,5730.0,5539.77,5565.0,1637.18924545,9261305.2705748,5656.8324622907
2018-07-04,5581.45,5824.0,5483.08,5635.0,1027.2380849,5818194.7442169,5663.9203995083
2018-07-05,5650.9,5748.43,5511.0,5594.93,917.69808147,5166277.6050277,5629.6048878649
2018-07-06,5590.44,5664.88,5505.0,5619.86,741.86362707,4148566.0198941,5592.0871013436
2018-07-07,5626.58,5799.93,5544.03,5758.63,436.41805522,2460320.9665577,5637.5324923656
2018-07-08,5758.63,5773.58,5684.14,5706.01,664.25245602,3810709.6531113,5736.8393877592
2018-07-09,5711.6,5788.0,5634.39,5672.84,868.70629966,4954468.2711351,5703.2719494198
2018-07-10,5672.83,5676.88,5349.0,5382.61,1320.91342091,7272075.0254183,5505.3381321604
2018-07-11,5384.91,5470.81,5355.01,5464.99,839.5552703,4550421.8708581,5420.0384796966
2018-07-12,5471.82,5471.82,5215.0,5357.18,1028.66442805,5462763.2671463,5310.5396844546
2018-07-13,5364.01,5443.69,5251.79,5325.84,948.25943029,5081102.300863,5358.346185188
2018-07-14,5322.94,5414.2,5295.09,5358.0,296.64306984,1586933.2798924,5349.6388125579
2018-07-15,5356.18,5469.4,5331.94,5438.19,321.58100574,1745764.3248255,5428.6922848827
2018-07-16,5438.3,5764.9,5408.0,5745.64,2575.38645145,14326628.869895,5562.9044960723
2018-07-17,5728.13,6400.0,5671.47,6270.44,2160.49248552,13137747.480553,6080.9040385953
2018-07-18,6269.98,6504.84,6211.0,6324.01,1624.51194562,10340604.568304,6365.3607449204
2018-07-19,6338.05,6500.0,6250.0,6413.7,1121.65340426,7161724.2768157,6384.9708382426
2018-07-20,6413.28,6576.29,6200.0,6248.34,1146.60818471,7299756.7546933,6366.3916340695
2018-07-21,6258.1,6366.96,6145.98,6324.7,411.93034193,2577702.5485903,6257.6175780427
2018-07-22,6324.0,6455.76,6250.0,6308.19,594.99484419,3775605.9570715,6345.6112165332
2018-07-23,6307.49,6686.0,6282.06,6611.97,1800.50152335,11849940.698129,6581.4666327418
2018-07-24,6607.7,7250.11,6584.87,7190.31,3025.71785732,21053059.625104,6958.0379327738
2018-07-25,7195.34,7254.88,6886.0,6964.2,1505.81748075,10604720.036363,7042.500284351
2018-07-26,6964.2,7119.0,6745.0,6809.1,1277.81997264,8911515.8076059,6973.9994666029
2018-07-27,6809.1,7099.34,6699.0,7007.34,1307.01955196,8998972.77428,6885.1095309058
2018-07-28,7010.11,7080.0,6902.01,7066.34,390.11591454,2732917.5009987,7005.3986498378
2018-07-29,7067.58,7107.38,6965.05,7040.66,373.46048983,2627493.0619727,7035.531558288
2018-07-30,7039.81,7098.81,6710.1,6973.46,1447.36136549,10016628.797003,6920.6136323887
2018-07-31,6975.0,6975.0,6530.88,6612.77,1758.91195768,11757577.861191,6684.5744096817
2018-08-01,6615.59,6625.37,6380.0,6521.76,1492.15214059,9653620.641155,6469.5954109196
2018-08-02,6521.64,6599.99,6416.9,6504.57,749.46630343,4883927.0944812,6516.5399326554
2018-08-03,6504.62,6507.0,6277.0,6407.7,2072.81272986,13220296.014611,6377.9500309728
2018-08-04,6409.35,6471.15,5988.88,6059.55,986.65473576,6076439.3457842,6158.6278619578
